cases,gamma
68.00,0.82
104.00,0.60
64.00,0.28
32.00,0.94
27.00,0.94
68.00,0.33
81.00,0.46
61.00,0.82
56.00,0.68
108.00,0.55
87.00,0.22
63.00,0.60
62.00,0.71
73.00,0.51
58.00,0.45
90.00,0.28
61.00,0.59
58.00,0.72
100.00,0.39
64.00,0.79
50.00,0.86
91.00,0.21
62.00,0.39
92.00,0.49
59.00,0.40
51.00,0.97
77.00,0.18
90.00,0.22
62.00,0.26
53.00,0.80
51.00,0.94
75.00,0.24
78.00,0.53
34.00,0.98
51.00,0.35
60.00,0.28
85.00,0.37
69.00,0.63
80.00,0.69
57.00,0.86
54.00,0.51
72.00,0.21
70.00,0.39
90.00,0.50
66.00,0.75
81.00,0.40
52.00,0.80
77.00,0.29
48.00,0.81
52.00,0.58
42.00,1.00
71.00,0.43
76.00,0.43
53.00,0.96
75.00,0.64
89.00,0.36
80.00,0.44
58.00,0.72
74.00,0.48
46.00,0.93
92.00,0.22
70.00,0.52
60.00,0.81
72.00,0.50
111.00,0.77
87.00,0.31
74.00,0.24
66.00,0.69
62.00,0.63
55.00,0.97
71.00,0.53
76.00,0.34
54.00,0.22
50.00,0.72
44.00,0.85
103.00,0.50
40.00,0.76
82.00,0.33
64.00,0.33
66.00,0.54
81.00,0.33
47.00,0.78
97.00,0.35
92.00,0.25
56.00,0.17
79.00,0.50
92.00,0.25
80.00,0.40
66.00,0.22
85.00,0.25
37.00,0.89
85.00,0.68
64.00,0.40
63.00,0.76
59.00,0.49
77.00,0.68
96.00,0.37
119.00,0.29
64.00,0.82
57.00,0.81
32.00,0.91
63.00,0.40
81.00,0.36
95.00,0.29
97.00,0.33
80.00,0.61
75.00,0.38
77.00,0.20
54.00,0.90
55.00,0.76
80.00,0.53
82.00,0.37
38.00,0.81
70.00,0.46
90.00,0.21
73.00,0.28
57.00,0.73
66.00,0.82
68.00,0.24
62.00,0.65
79.00,0.76
87.00,0.56
101.00,0.35
86.00,0.21
52.00,0.85
47.00,0.91
63.00,0.78
60.00,0.83
45.00,0.71
69.00,0.85
65.00,0.81
78.00,0.86
75.00,0.42
51.00,0.83
98.00,0.45
63.00,0.43
104.00,0.68
70.00,0.66
79.00,0.78
84.00,0.68
71.00,0.55
68.00,0.44
58.00,0.72
118.00,0.19
81.00,0.58
98.00,0.37
73.00,0.33
39.00,0.75
57.00,0.71
75.00,0.60
86.00,0.62
47.00,0.90
29.00,0.95
75.00,0.59
62.00,0.37
107.00,0.37
45.00,0.74
69.00,0.75
64.00,0.91
54.00,0.35
45.00,0.96
83.00,0.36
43.00,0.76
89.00,0.28
87.00,0.81
59.00,0.89
65.00,0.55
100.00,0.46
56.00,0.44
59.00,0.35
86.00,0.45
60.00,0.81
73.00,0.67
74.00,0.71
62.00,0.70
118.00,0.20
57.00,0.44
62.00,0.35
91.00,0.80
58.00,0.83
80.00,0.27
64.00,0.29
82.00,0.48
42.00,0.24
44.00,0.67
68.00,0.24
71.00,0.86
80.00,0.57
35.00,0.93
90.00,0.26
79.00,0.48
39.00,0.98
81.00,0.35
62.00,0.69
68.00,0.20
66.00,0.60
49.00,0.69
70.00,0.91
90.00,0.50
93.00,0.73
40.00,0.69
87.00,0.43
36.00,0.95
72.00,0.20
45.00,0.93
97.00,0.31
97.00,0.28
70.00,0.65
55.00,0.66
94.00,0.28
64.00,0.47
79.00,0.18
77.00,0.46
40.00,0.91
74.00,0.30
72.00,0.41
91.00,0.32
105.00,0.42
84.00,0.72
79.00,0.32
48.00,0.71
86.00,0.20
77.00,0.56
79.00,0.29
48.00,0.64
79.00,0.87
79.00,0.64
73.00,0.29
52.00,0.55
106.00,0.35
62.00,0.84
66.00,0.31
89.00,0.20
45.00,0.88
65.00,0.71
38.00,0.90
78.00,0.62
66.00,0.75
83.00,0.20
38.00,0.93
77.00,0.45
83.00,0.63
55.00,0.48
105.00,0.23
79.00,0.76
75.00,0.49
73.00,0.45
58.00,0.52
56.00,0.59
82.00,0.25
62.00,0.21
64.00,0.75
63.00,0.77
73.00,0.65
82.00,0.36
95.00,0.33
95.00,0.18
65.00,0.81
38.00,0.83
75.00,0.32
39.00,0.93
60.00,0.60
55.00,0.87
51.00,0.97
77.00,0.46
62.00,0.90
76.00,0.37
78.00,0.63
54.00,0.89
50.00,0.21
63.00,0.22
82.00,0.67
69.00,0.33
71.00,0.38
44.00,0.38
79.00,0.56
70.00,0.83
39.00,0.94
95.00,0.22
39.00,0.90
45.00,0.84
39.00,0.65
58.00,0.82
81.00,0.23
52.00,0.93
65.00,0.63
66.00,0.47
101.00,0.65
50.00,0.84
96.00,0.44
95.00,0.46
86.00,0.18
74.00,0.43
45.00,0.98
56.00,0.79
78.00,0.45
92.00,0.19
40.00,0.89
61.00,0.36
27.00,0.98
66.00,0.45
45.00,0.83
87.00,0.79
50.00,0.27
47.00,0.99
71.00,0.46
68.00,0.41
103.00,0.40
77.00,0.69
61.00,0.45
75.00,0.66
100.00,0.48
81.00,0.21
67.00,0.34
64.00,0.35
72.00,0.24
71.00,0.70
96.00,0.56
98.00,0.41
66.00,0.29
104.00,0.57
73.00,0.79
52.00,0.64
45.00,0.29
46.00,0.79
63.00,0.53
49.00,0.81
60.00,0.61
50.00,0.86
53.00,0.92
91.00,0.73
51.00,0.77
52.00,0.75
46.00,0.75
50.00,0.87
51.00,0.75
59.00,0.63
32.00,0.95
65.00,0.97
95.00,0.31
42.00,0.96
87.00,0.29
116.00,0.21
35.00,0.90
57.00,0.83
115.00,0.41
70.00,0.23
